"Session","Topic","Day","Month","Weekday","Time","timezone"
"Session 1.3","Introduction to Zoom","19","9","Saturday","21:00 - 21:15","Asia/Thimphu"
"Session 1.4","Introduction to Facebook Workplace","19","9","Saturday","21:15 - 21:30","Asia/Thimphu"
"Session 1.5","Questions","19","9","Saturday","21:30 - 21:45","Asia/Thimphu"
"Session 1.6","Socializing","19","9","Saturday","21:45 - 22:30","Asia/Thimphu"
"Session 2.1","Insights into Negotiation Strategies","26","9","Saturday","20:00 - 20:30","Asia/Thimphu"
"Session 2.2","Questions","26","9","Saturday","20:30 - 20:45","Asia/Thimphu"
"Coffee Break","Socializing","26","9","Saturday","20:45 - 21:00","Asia/Thimphu"
"Session 2.3","Insights into Negotiation Experiences from Politics and Business","26","9","Saturday","21:00 - 21:30","Asia/Thimphu"
"Session 2.4","Questions","26","9","Saturday","21:30 - 21:45","Asia/Thimphu"
"Coffee Break","Socializing","26","9","Saturday","21:45 - 22:00","Asia/Thimphu"
"Session 2.5","NATO: Insights into the rules of procedure; Activists: Insights into influencing negotiations","26","9","Saturday","22:00 - 23:00","Asia/Thimphu"
"Session 3.1","Insights into Intelligence Gathering","3","10","Saturday","20:00 - 20:30","Asia/Thimphu"
"Session 3.2","Questions","3","10","Saturday","20:30 - 20:45","Asia/Thimphu"
"Coffee Break","Socializing","3","10","Saturday","20:45 - 21:00","Asia/Thimphu"
"Session 3.3","Input on NATO policy","3","10","Saturday","21:00 - 21:30","Asia/Thimphu"
"Session 3.4","Questions","3","10","Saturday","21:30 - 22:00","Asia/Thimphu"
"Session 4.1","Public Opening Statements by the Heads of State","10","10","Saturday","20:00 - 20:30","Asia/Thimphu"
"Session 4.2","NATO: Negotiations; Activists: Influencing","10","10","Saturday","20:30 - 21:45","Asia/Thimphu"
"Coffee Break","Socializing","10","10","Saturday","21:45 - 22:00","Asia/Thimphu"
"Session 4.3","NATO: Negotiations; Activists: Influencing","10","10","Saturday","22:00 - 23:30","Asia/Thimphu"
"Meal Break","-","10","10","Saturday","23:30 - 00:30","Asia/Thimphu"
"Session 4.4","NATO: Negotiations; Activists: Influencing","11","10","Sunday","00:30 - 01:45","Asia/Thimphu"
"Session 4.5","Press Conference","11","10","Sunday","01:45 - 02:00","Asia/Thimphu"
"Session 5.1","NATO: Negotiations; Activists: Influencing","11","10","Sunday","20:00 - 21:15","Asia/Thimphu"
"Coffee Break","Socializing","11","10","Sunday","21:15 - 21:30","Asia/Thimphu"
"Session 5.2","NATO: Negotiations; Activists: Influencing","11","10","Sunday","21:30 - 23:00","Asia/Thimphu"
"Meal Break","-","11","10","Sunday","23:00 - 00:00","Asia/Thimphu"
"Session 5.3","NATO: Negotiations; Activists: Influencing","12","10","Monday","00:00 - 01:15","Asia/Thimphu"
"Session 5.4","Press Conference","12","10","Monday","01:15 - 01:45","Asia/Thimphu"
"Closing Ceremony","Final Statement / Socializing","12","10","Monday","01:45 - 02:00","Asia/Thimphu"
"Session 1.1","Opening Speech","19","9","Saturday","23:00 - 23:15","Asia/Tokyo"
"Session 1.2","Team Introduction","19","9","Saturday","23:15 - 23:45","Asia/Tokyo"
"Coffee Break","Socializing","19","9","Saturday","23:45 - 00:00","Asia/Tokyo"
"Session 1.3","Introduction to Zoom","20","9","Sunday","00:00 - 00:15","Asia/Tokyo"
"Session 1.4","Introduction to Facebook Workplace","20","9","Sunday","00:15 - 00:30","Asia/Tokyo"
"Session 1.5","Questions","20","9","Sunday","00:30 - 00:45","Asia/Tokyo"
"Session 1.6","Socializing","20","9","Sunday","00:45 - 01:30","Asia/Tokyo"
"Session 2.1","Insights into Negotiation Strategies","26","9","Saturday","23:00 - 23:30","Asia/Tokyo"
"Session 2.2","Questions","26","9","Saturday","23:30 - 23:45","Asia/Tokyo"
"Coffee Break","Socializing","26","9","Saturday","23:45 - 00:00","Asia/Tokyo"
"Session 2.3","Insights into Negotiation Experiences from Politics and Business","27","9","Sunday","00:00 - 00:30","Asia/Tokyo"
"Session 2.4","Questions","27","9","Sunday","00:30 - 00:45","Asia/Tokyo"
"Coffee Break","Socializing","27","9","Sunday","00:45 - 01:00","Asia/Tokyo"
"Session 2.5","NATO: Insights into the rules of procedure; Activists: Insights into influencing negotiations","27","9","Sunday","01:00 - 02:00","Asia/Tokyo"
"Session 3.1","Insights into Intelligence Gathering","3","10","Saturday","23:00 - 23:30","Asia/Tokyo"
"Session 3.2","Questions","3","10","Saturday","23:30 - 23:45","Asia/Tokyo"
"Coffee Break","Socializing","3","10","Saturday","23:45 - 00:00","Asia/Tokyo"
"Session 3.3","Input on NATO policy","4","10","Sunday","00:00 - 00:30","Asia/Tokyo"
"Session 3.4","Questions","4","10","Sunday","00:30 - 01:00","Asia/Tokyo"
"Session 4.1","Public Opening Statements by the Heads of State","10","10","Saturday","23:00 - 23:30","Asia/Tokyo"
"Session 4.2","NATO: Negotiations; Activists: Influencing","10","10","Saturday","23:30 - 00:45","Asia/Tokyo"
"Coffee Break","Socializing","11","10","Sunday","00:45 - 01:00","Asia/Tokyo"
"Session 4.3","NATO: Negotiations; Activists: Influencing","11","10","Sunday","01:00 - 02:30","Asia/Tokyo"
"Meal Break","-","11","10","Sunday","02:30 - 03:30","Asia/Tokyo"
"Session 4.4","NATO: Negotiations; Activists: Influencing","11","10","Sunday","03:30 - 04:45","Asia/Tokyo"
"Session 4.5","Press Conference","11","10","Sunday","04:45 - 05:00","Asia/Tokyo"
"Session 5.1","NATO: Negotiations; Activists: Influencing","11","10","Sunday","23:00 - 00:15","Asia/Tokyo"
"Coffee Break","Socializing","12","10","Monday","00:15 - 00:30","Asia/Tokyo"
"Session 5.2","NATO: Negotiations; Activists: Influencing","12","10","Monday","00:30 - 02:00","Asia/Tokyo"
"Meal Break","-","12","10","Monday","02:00 - 03:00","Asia/Tokyo"
"Session 5.3","NATO: Negotiations; Activists: Influencing","12","10","Monday","03:00 - 04:15","Asia/Tokyo"
"Session 5.4","Press Conference","12","10","Monday","04:15 - 04:45","Asia/Tokyo"
"Closing Ceremony","Final Statement / Socializing","12","10","Monday","04:45 - 05:00","Asia/Tokyo"
"Session 1.1","Opening Speech","19","9","Saturday","21:00 - 21:15","Asia/Tomsk"
"Session 1.2","Team Introduction","19","9","Saturday","21:15 - 21:45","Asia/Tomsk"
"Coffee Break","Socializing","19","9","Saturday","21:45 - 22:00","Asia/Tomsk"
"Session 1.3","Introduction to Zoom","19","9","Saturday","22:00 - 22:15","Asia/Tomsk"
"Session 1.4","Introduction to Facebook Workplace","19","9","Saturday","22:15 - 22:30","Asia/Tomsk"
"Session 1.5","Questions","19","9","Saturday","22:30 - 22:45","Asia/Tomsk"
"Session 1.6","Socializing","19","9","Saturday","22:45 - 23:30","Asia/Tomsk"
"Session 2.1","Insights into Negotiation Strategies","26","9","Saturday","21:00 - 21:30","Asia/Tomsk"
"Session 2.2","Questions","26","9","Saturday","21:30 - 21:45","Asia/Tomsk"
"Coffee Break","Socializing","26","9","Saturday","21:45 - 22:00","Asia/Tomsk"
"Session 2.3","Insights into Negotiation Experiences from Politics and Business","26","9","Saturday","22:00 - 22:30","Asia/Tomsk"
"Session 2.4","Questions","26","9","Saturday","22:30 - 22:45","Asia/Tomsk"
"Coffee Break","Socializing","26","9","Saturday","22:45 - 23:00","Asia/Tomsk"
"Session 2.5","NATO: Insights into the rules of procedure; Activists: Insights into influencing negotiations","26","9","Saturday","23:00 - 00:00","Asia/Tomsk"
"Session 3.1","Insights into Intelligence Gathering","3","10","Saturday","21:00 - 21:30","Asia/Tomsk"
"Session 3.2","Questions","3","10","Saturday","21:30 - 21:45","Asia/Tomsk"
"Coffee Break","Socializing","3","10","Saturday","21:45 - 22:00","Asia/Tomsk"
"Session 3.3","Input on NATO policy","3","10","Saturday","22:00 - 22:30","Asia/Tomsk"
"Session 3.4","Questions","3","10","Saturday","22:30 - 23:00","Asia/Tomsk"
"Session 4.1","Public Opening Statements by the Heads of State","10","10","Saturday","21:00 - 21:30","Asia/Tomsk"
"Session 4.2","NATO: Negotiations; Activists: Influencing","10","10","Saturday","21:30 - 22:45","Asia/Tomsk"
"Coffee Break","Socializing","10","10","Saturday","22:45 - 23:00","Asia/Tomsk"
"Session 4.3","NATO: Negotiations; Activists: Influencing","10","10","Saturday","23:00 - 00:30","Asia/Tomsk"
"Meal Break","-","11","10","Sunday","00:30 - 01:30","Asia/Tomsk"
"Session 4.4","NATO: Negotiations; Activists: Influencing","11","10","Sunday","01:30 - 02:45","Asia/Tomsk"
"Session 4.5","Press Conference","11","10","Sunday","02:45 - 03:00","Asia/Tomsk"
"Session 5.1","NATO: Negotiations; Activists: Influencing","11","10","Sunday","21:00 - 22:15","Asia/Tomsk"
"Coffee Break","Socializing","11","10","Sunday","22:15 - 22:30","Asia/Tomsk"
"Session 5.2","NATO: Negotiations; Activists: Influencing","11","10","Sunday","22:30 - 00:00","Asia/Tomsk"
"Meal Break","-","12","10","Monday","00:00 - 01:00","Asia/Tomsk"
"Session 5.3","NATO: Negotiations; Activists: Influencing","12","10","Monday","01:00 - 02:15","Asia/Tomsk"
"Session 5.4","Press Conference","12","10","Monday","02:15 - 02:45","Asia/Tomsk"
"Closing Ceremony","Final Statement / Socializing","12","10","Monday","02:45 - 03:00","Asia/Tomsk"
"Session 1.1","Opening Speech","19","9","Saturday","22:00 - 22:15","Asia/Ujung_Pandang"
"Session 1.2","Team Introduction","19","9","Saturday","22:15 - 22:45","Asia/Ujung_Pandang"
"Coffee Break","Socializing","19","9","Saturday","22:45 - 23:00","Asia/Ujung_Pandang"
"Session 1.3","Introduction to Zoom","19","9","Saturday","23:00 - 23:15","Asia/Ujung_Pandang"
"Session 1.4","Introduction to Facebook Workplace","19","9","Saturday","23:15 - 23:30","Asia/Ujung_Pandang"
"Session 1.5","Questions","19","9","Saturday","23:30 - 23:45","Asia/Ujung_Pandang"
"Session 1.6","Socializing","19","9","Saturday","23:45 - 00:30","Asia/Ujung_Pandang"
"Session 2.1","Insights into Negotiation Strategies","26","9","Saturday","22:00 - 22:30","Asia/Ujung_Pandang"
"Session 2.2","Questions","26","9","Saturday","22:30 - 22:45","Asia/Ujung_Pandang"
"Coffee Break","Socializing","26","9","Saturday","22:45 - 23:00","Asia/Ujung_Pandang"
"Session 2.3","Insights into Negotiation Experiences from Politics and Business","26","9","Saturday","23:00 - 23:30","Asia/Ujung_Pandang"
"Session 2.4","Questions","26","9","Saturday","23:30 - 23:45","Asia/Ujung_Pandang"
"Coffee Break","Socializing","26","9","Saturday","23:45 - 00:00","Asia/Ujung_Pandang"
"Session 2.5","NATO: Insights into the rules of procedure; Activists: Insights into influencing negotiations","27","9","Sunday","00:00 - 01:00","Asia/Ujung_Pandang"
"Session 3.1","Insights into Intelligence Gathering","3","10","Saturday","22:00 - 22:30","Asia/Ujung_Pandang"
"Session 3.2","Questions","3","10","Saturday","22:30 - 22:45","Asia/Ujung_Pandang"
"Coffee Break","Socializing","3","10","Saturday","22:45 - 23:00","Asia/Ujung_Pandang"
"Session 3.3","Input on NATO policy","3","10","Saturday","23:00 - 23:30","Asia/Ujung_Pandang"
"Session 3.4","Questions","3","10","Saturday","23:30 - 00:00","Asia/Ujung_Pandang"
"Session 4.1","Public Opening Statements by the Heads of State","10","10","Saturday","22:00 - 22:30","Asia/Ujung_Pandang"
"Session 4.2","NATO: Negotiations; Activists: Influencing","10","10","Saturday","22:30 - 23:45","Asia/Ujung_Pandang"
"Coffee Break","Socializing","10","10","Saturday","23:45 - 00:00","Asia/Ujung_Pandang"
"Session 4.3","NATO: Negotiations; Activists: Influencing","11","10","Sunday","00:00 - 01:30","Asia/Ujung_Pandang"
"Meal Break","-","11","10","Sunday","01:30 - 02:30","Asia/Ujung_Pandang"
"Session 4.4","NATO: Negotiations; Activists: Influencing","11","10","Sunday","02:30 - 03:45","Asia/Ujung_Pandang"
"Session 4.5","Press Conference","11","10","Sunday","03:45 - 04:00","Asia/Ujung_Pandang"
"Session 5.1","NATO: Negotiations; Activists: Influencing","11","10","Sunday","22:00 - 23:15","Asia/Ujung_Pandang"
"Coffee Break","Socializing","11","10","Sunday","23:15 - 23:30","Asia/Ujung_Pandang"
"Session 5.2","NATO: Negotiations; Activists: Influencing","11","10","Sunday","23:30 - 01:00","Asia/Ujung_Pandang"
"Meal Break","-","12","10","Monday","01:00 - 02:00","Asia/Ujung_Pandang"
"Session 5.3","NATO: Negotiations; Activists: Influencing","12","10","Monday","02:00 - 03:15","Asia/Ujung_Pandang"
"Session 5.4","Press Conference","12","10","Monday","03:15 - 03:45","Asia/Ujung_Pandang"
"Closing Ceremony","Final Statement / Socializing","12","10","Monday","03:45 - 04:00","Asia/Ujung_Pandang"
"Session 1.1","Opening Speech","19","9","Saturday","22:00 - 22:15","Asia/Ulaanbaatar"
"Session 1.2","Team Introduction","19","9","Saturday","22:15 - 22:45","Asia/Ulaanbaatar"
"Coffee Break","Socializing","19","9","Saturday","22:45 - 23:00","Asia/Ulaanbaatar"
"Session 1.3","Introduction to Zoom","19","9","Saturday","23:00 - 23:15","Asia/Ulaanbaatar"
"Session 1.4","Introduction to Facebook Workplace","19","9","Saturday","23:15 - 23:30","Asia/Ulaanbaatar"
"Session 1.5","Questions","19","9","Saturday","23:30 - 23:45","Asia/Ulaanbaatar"
"Session 1.6","Socializing","19","9","Saturday","23:45 - 00:30","Asia/Ulaanbaatar"
"Session 2.1","Insights into Negotiation Strategies","26","9","Saturday","22:00 - 22:30","Asia/Ulaanbaatar"
"Session 2.2","Questions","26","9","Saturday","22:30 - 22:45","Asia/Ulaanbaatar"
"Coffee Break","Socializing","26","9","Saturday","22:45 - 23:00","Asia/Ulaanbaatar"
"Session 2.3","Insights into Negotiation Experiences from Politics and Business","26","9","Saturday","23:00 - 23:30","Asia/Ulaanbaatar"
"Session 2.4","Questions","26","9","Saturday","23:30 - 23:45","Asia/Ulaanbaatar"
"Coffee Break","Socializing","26","9","Saturday","23:45 - 00:00","Asia/Ulaanbaatar"
"Session 2.5","NATO: Insights into the rules of procedure; Activists: Insights into influencing negotiations","27","9","Sunday","00:00 - 01:00","Asia/Ulaanbaatar"
"Session 3.1","Insights into Intelligence Gathering","3","10","Saturday","22:00 - 22:30","Asia/Ulaanbaatar"
"Session 3.2","Questions","3","10","Saturday","22:30 - 22:45","Asia/Ulaanbaatar"
"Coffee Break","Socializing","3","10","Saturday","22:45 - 23:00","Asia/Ulaanbaatar"
"Session 3.3","Input on NATO policy","3","10","Saturday","23:00 - 23:30","Asia/Ulaanbaatar"
"Session 3.4","Questions","3","10","Saturday","23:30 - 00:00","Asia/Ulaanbaatar"
"Session 4.1","Public Opening Statements by the Heads of State","10","10","Saturday","22:00 - 22:30","Asia/Ulaanbaatar"
"Session 4.2","NATO: Negotiations; Activists: Influencing","10","10","Saturday","22:30 - 23:45","Asia/Ulaanbaatar"
"Coffee Break","Socializing","10","10","Saturday","23:45 - 00:00","Asia/Ulaanbaatar"
"Session 4.3","NATO: Negotiations; Activists: Influencing","11","10","Sunday","00:00 - 01:30","Asia/Ulaanbaatar"
"Meal Break","-","11","10","Sunday","01:30 - 02:30","Asia/Ulaanbaatar"
"Session 4.4","NATO: Negotiations; Activists: Influencing","11","10","Sunday","02:30 - 03:45","Asia/Ulaanbaatar"
"Session 4.5","Press Conference","11","10","Sunday","03:45 - 04:00","Asia/Ulaanbaatar"
"Session 5.1","NATO: Negotiations; Activists: Influencing","11","10","Sunday","22:00 - 23:15","Asia/Ulaanbaatar"
"Coffee Break","Socializing","11","10","Sunday","23:15 - 23:30","Asia/Ulaanbaatar"
"Session 5.2","NATO: Negotiations; Activists: Influencing","11","10","Sunday","23:30 - 01:00","Asia/Ulaanbaatar"
"Meal Break","-","12","10","Monday","01:00 - 02:00","Asia/Ulaanbaatar"
"Session 5.3","NATO: Negotiations; Activists: Influencing","12","10","Monday","02:00 - 03:15","Asia/Ulaanbaatar"
"Session 5.4","Press Conference","12","10","Monday","03:15 - 03:45","Asia/Ulaanbaatar"
"Closing Ceremony","Final Statement / Socializing","12","10","Monday","03:45 - 04:00","Asia/Ulaanbaatar"
"Session 1.1","Opening Speech","19","9","Saturday","22:00 - 22:15","Asia/Ulan_Bator"
"Session 1.2","Team Introduction","19","9","Saturday","22:15 - 22:45","Asia/Ulan_Bator"
"Coffee Break","Socializing","19","9","Saturday","22:45 - 23:00","Asia/Ulan_Bator"
"Session 1.3","Introduction to Zoom","19","9","Saturday","23:00 - 23:15","Asia/Ulan_Bator"
"Session 1.4","Introduction to Facebook Workplace","19","9","Saturday","23:15 - 23:30","Asia/Ulan_Bator"
"Session 1.5","Questions","19","9","Saturday","23:30 - 23:45","Asia/Ulan_Bator"
"Session 1.6","Socializing","19","9","Saturday","23:45 - 00:30","Asia/Ulan_Bator"
"Session 2.1","Insights into Negotiation Strategies","26","9","Saturday","22:00 - 22:30","Asia/Ulan_Bator"
"Session 2.2","Questions","26","9","Saturday","22:30 - 22:45","Asia/Ulan_Bator"
"Coffee Break","Socializing","26","9","Saturday","22:45 - 23:00","Asia/Ulan_Bator"
"Session 2.3","Insights into Negotiation Experiences from Politics and Business","26","9","Saturday","23:00 - 23:30","Asia/Ulan_Bator"
"Session 2.4","Questions","26","9","Saturday","23:30 - 23:45","Asia/Ulan_Bator"
"Coffee Break","Socializing","26","9","Saturday","23:45 - 00:00","Asia/Ulan_Bator"
"Session 2.5","NATO: Insights into the rules of procedure; Activists: Insights into influencing negotiations","27","9","Sunday","00:00 - 01:00","Asia/Ulan_Bator"
"Session 3.1","Insights into Intelligence Gathering","3","10","Saturday","22:00 - 22:30","Asia/Ulan_Bator"
"Session 3.2","Questions","3","10","Saturday","22:30 - 22:45","Asia/Ulan_Bator"
"Coffee Break","Socializing","3","10","Saturday","22:45 - 23:00","Asia/Ulan_Bator"
"Session 3.3","Input on NATO policy","3","10","Saturday","23:00 - 23:30","Asia/Ulan_Bator"
"Session 3.4","Questions","3","10","Saturday","23:30 - 00:00","Asia/Ulan_Bator"
"Session 4.1","Public Opening Statements by the Heads of State","10","10","Saturday","22:00 - 22:30","Asia/Ulan_Bator"
"Session 4.2","NATO: Negotiations; Activists: Influencing","10","10","Saturday","22:30 - 23:45","Asia/Ulan_Bator"
"Coffee Break","Socializing","10","10","Saturday","23:45 - 00:00","Asia/Ulan_Bator"
"Session 4.3","NATO: Negotiations; Activists: Influencing","11","10","Sunday","00:00 - 01:30","Asia/Ulan_Bator"
"Meal Break","-","11","10","Sunday","01:30 - 02:30","Asia/Ulan_Bator"
"Session 4.4","NATO: Negotiations; Activists: Influencing","11","10","Sunday","02:30 - 03:45","Asia/Ulan_Bator"
"Session 4.5","Press Conference","11","10","Sunday","03:45 - 04:00","Asia/Ulan_Bator"
"Session 5.1","NATO: Negotiations; Activists: Influencing","11","10","Sunday","22:00 - 23:15","Asia/Ulan_Bator"
"Coffee Break","Socializing","11","10","Sunday","23:15 - 23:30","Asia/Ulan_Bator"
"Session 5.2","NATO: Negotiations; Activists: Influencing","11","10","Sunday","23:30 - 01:00","Asia/Ulan_Bator"
"Meal Break","-","12","10","Monday","01:00 - 02:00","Asia/Ulan_Bator"
"Session 5.3","NATO: Negotiations; Activists: Influencing","12","10","Monday","02:00 - 03:15","Asia/Ulan_Bator"
"Session 5.4","Press Conference","12","10","Monday","03:15 - 03:45","Asia/Ulan_Bator"
"Closing Ceremony","Final Statement / Socializing","12","10","Monday","03:45 - 04:00","Asia/Ulan_Bator"
"Session 1.1","Opening Speech","19","9","Saturday","20:00 - 20:15","Asia/Urumqi"
"Session 1.2","Team Introduction","19","9","Saturday","20:15 - 20:45","Asia/Urumqi"
"Coffee Break","Socializing","19","9","Saturday","20:45 - 21:00","Asia/Urumqi"
"Session 1.3","Introduction to Zoom","19","9","Saturday","21:00 - 21:15","Asia/Urumqi"
"Session 1.4","Introduction to Facebook Workplace","19","9","Saturday","21:15 - 21:30","Asia/Urumqi"
"Session 1.5","Questions","19","9","Saturday","21:30 - 21:45","Asia/Urumqi"
"Session 1.6","Socializing","19","9","Saturday","21:45 - 22:30","Asia/Urumqi"
"Session 2.1","Insights into Negotiation Strategies","26","9","Saturday","20:00 - 20:30","Asia/Urumqi"
"Session 2.2","Questions","26","9","Saturday","20:30 - 20:45","Asia/Urumqi"
"Coffee Break","Socializing","26","9","Saturday","20:45 - 21:00","Asia/Urumqi"
"Session 2.3","Insights into Negotiation Experiences from Politics and Business","26","9","Saturday","21:00 - 21:30","Asia/Urumqi"
"Session 2.4","Questions","26","9","Saturday","21:30 - 21:45","Asia/Urumqi"
"Coffee Break","Socializing","26","9","Saturday","21:45 - 22:00","Asia/Urumqi"
"Session 2.5","NATO: Insights into the rules of procedure; Activists: Insights into influencing negotiations","26","9","Saturday","22:00 - 23:00","Asia/Urumqi"
"Session 3.1","Insights into Intelligence Gathering","3","10","Saturday","20:00 - 20:30","Asia/Urumqi"
"Session 3.2","Questions","3","10","Saturday","20:30 - 20:45","Asia/Urumqi"
"Coffee Break","Socializing","3","10","Saturday","20:45 - 21:00","Asia/Urumqi"
"Session 3.3","Input on NATO policy","3","10","Saturday","21:00 - 21:30","Asia/Urumqi"
"Session 3.4","Questions","3","10","Saturday","21:30 - 22:00","Asia/Urumqi"
"Session 4.1","Public Opening Statements by the Heads of State","10","10","Saturday","20:00 - 20:30","Asia/Urumqi"
"Session 4.2","NATO: Negotiations; Activists: Influencing","10","10","Saturday","20:30 - 21:45","Asia/Urumqi"
"Coffee Break","Socializing","10","10","Saturday","21:45 - 22:00","Asia/Urumqi"
"Session 4.3","NATO: Negotiations; Activists: Influencing","10","10","Saturday","22:00 - 23:30","Asia/Urumqi"
"Meal Break","-","10","10","Saturday","23:30 - 00:30","Asia/Urumqi"
"Session 4.4","NATO: Negotiations; Activists: Influencing","11","10","Sunday","00:30 - 01:45","Asia/Urumqi"
"Session 4.5","Press Conference","11","10","Sunday","01:45 - 02:00","Asia/Urumqi"
"Session 5.1","NATO: Negotiations; Activists: Influencing","11","10","Sunday","20:00 - 21:15","Asia/Urumqi"
"Coffee Break","Socializing","11","10","Sunday","21:15 - 21:30","Asia/Urumqi"
"Session 5.2","NATO: Negotiations; Activists: Influencing","11","10","Sunday","21:30 - 23:00","Asia/Urumqi"
"Meal Break","-","11","10","Sunday","23:00 - 00:00","Asia/Urumqi"
"Session 5.3","NATO: Negotiations; Activists: Influencing","12","10","Monday","00:00 - 01:15","Asia/Urumqi"
"Session 5.4","Press Conference","12","10","Monday","01:15 - 01:45","Asia/Urumqi"
"Closing Ceremony","Final Statement / Socializing","12","10","Monday","01:45 - 02:00","Asia/Urumqi"
"Session 1.1","Opening Speech","20","9","Sunday","00:00 - 00:15","Asia/Ust-Nera"
"Session 1.2","Team Introduction","20","9","Sunday","00:15 - 00:45","Asia/Ust-Nera"
"Coffee Break","Socializing","20","9","Sunday","00:45 - 01:00","Asia/Ust-Nera"
"Session 1.3","Introduction to Zoom","20","9","Sunday","01:00 - 01:15","Asia/Ust-Nera"
"Session 1.4","Introduction to Facebook Workplace","20","9","Sunday","01:15 - 01:30","Asia/Ust-Nera"
"Session 1.5","Questions","20","9","Sunday","01:30 - 01:45","Asia/Ust-Nera"
"Session 1.6","Socializing","20","9","Sunday","01:45 - 02:30","Asia/Ust-Nera"
"Session 2.1","Insights into Negotiation Strategies","27","9","Sunday","00:00 - 00:30","Asia/Ust-Nera"
"Session 2.2","Questions","27","9","Sunday","00:30 - 00:45","Asia/Ust-Nera"
"Coffee Break","Socializing","27","9","Sunday","00:45 - 01:00","Asia/Ust-Nera"
"Session 2.3","Insights into Negotiation Experiences from Politics and Business","27","9","Sunday","01:00 - 01:30","Asia/Ust-Nera"
"Session 2.4","Questions","27","9","Sunday","01:30 - 01:45","Asia/Ust-Nera"
"Coffee Break","Socializing","27","9","Sunday","01:45 - 02:00","Asia/Ust-Nera"
"Session 2.5","NATO: Insights into the rules of procedure; Activists: Insights into influencing negotiations","27","9","Sunday","02:00 - 03:00","Asia/Ust-Nera"
"Session 3.1","Insights into Intelligence Gathering","4","10","Sunday","00:00 - 00:30","Asia/Ust-Nera"
"Session 3.2","Questions","4","10","Sunday","00:30 - 00:45","Asia/Ust-Nera"
"Coffee Break","Socializing","4","10","Sunday","00:45 - 01:00","Asia/Ust-Nera"
"Session 3.3","Input on NATO policy","4","10","Sunday","01:00 - 01:30","Asia/Ust-Nera"
"Session 3.4","Questions","4","10","Sunday","01:30 - 02:00","Asia/Ust-Nera"
"Session 4.1","Public Opening Statements by the Heads of State","11","10","Sunday","00:00 - 00:30","Asia/Ust-Nera"
"Session 4.2","NATO: Negotiations; Activists: Influencing","11","10","Sunday","00:30 - 01:45","Asia/Ust-Nera"
"Coffee Break","Socializing","11","10","Sunday","01:45 - 02:00","Asia/Ust-Nera"
"Session 4.3","NATO: Negotiations; Activists: Influencing","11","10","Sunday","02:00 - 03:30","Asia/Ust-Nera"
"Meal Break","-","11","10","Sunday","03:30 - 04:30","Asia/Ust-Nera"
"Session 4.4","NATO: Negotiations; Activists: Influencing","11","10","Sunday","04:30 - 05:45","Asia/Ust-Nera"
"Session 4.5","Press Conference","11","10","Sunday","05:45 - 06:00","Asia/Ust-Nera"
"Session 5.1","NATO: Negotiations; Activists: Influencing","12","10","Monday","00:00 - 01:15","Asia/Ust-Nera"
"Coffee Break","Socializing","12","10","Monday","01:15 - 01:30","Asia/Ust-Nera"
"Session 5.2","NATO: Negotiations; Activists: Influencing","12","10","Monday","01:30 - 03:00","Asia/Ust-Nera"
"Meal Break","-","12","10","Monday","03:00 - 04:00","Asia/Ust-Nera"
"Session 5.3","NATO: Negotiations; Activists: Influencing","12","10","Monday","04:00 - 05:15","Asia/Ust-Nera"
"Session 5.4","Press Conference","12","10","Monday","05:15 - 05:45","Asia/Ust-Nera"
"Closing Ceremony","Final Statement / Socializing","12","10","Monday","05:45 - 06:00","Asia/Ust-Nera"
"Session 1.1","Opening Speech","19","9","Saturday","21:00 - 21:15","Asia/Vientiane"
"Session 1.2","Team Introduction","19","9","Saturday","21:15 - 21:45","Asia/Vientiane"
"Coffee Break","Socializing","19","9","Saturday","21:45 - 22:00","Asia/Vientiane"
"Session 1.3","Introduction to Zoom","19","9","Saturday","22:00 - 22:15","Asia/Vientiane"
"Session 1.4","Introduction to Facebook Workplace","19","9","Saturday","22:15 - 22:30","Asia/Vientiane"
"Session 1.5","Questions","19","9","Saturday","22:30 - 22:45","Asia/Vientiane"
"Session 1.6","Socializing","19","9","Saturday","22:45 - 23:30","Asia/Vientiane"
"Session 2.1","Insights into Negotiation Strategies","26","9","Saturday","21:00 - 21:30","Asia/Vientiane"
"Session 2.2","Questions","26","9","Saturday","21:30 - 21:45","Asia/Vientiane"
"Coffee Break","Socializing","26","9","Saturday","21:45 - 22:00","Asia/Vientiane"
"Session 2.3","Insights into Negotiation Experiences from Politics and Business","26","9","Saturday","22:00 - 22:30","Asia/Vientiane"
"Session 2.4","Questions","26","9","Saturday","22:30 - 22:45","Asia/Vientiane"
"Coffee Break","Socializing","26","9","Saturday","22:45 - 23:00","Asia/Vientiane"
"Session 2.5","NATO: Insights into the rules of procedure; Activists: Insights into influencing negotiations","26","9","Saturday","23:00 - 00:00","Asia/Vientiane"
"Session 3.1","Insights into Intelligence Gathering","3","10","Saturday","21:00 - 21:30","Asia/Vientiane"
"Session 3.2","Questions","3","10","Saturday","21:30 - 21:45","Asia/Vientiane"
"Coffee Break","Socializing","3","10","Saturday","21:45 - 22:00","Asia/Vientiane"
"Session 3.3","Input on NATO policy","3","10","Saturday","22:00 - 22:30","Asia/Vientiane"
"Session 3.4","Questions","3","10","Saturday","22:30 - 23:00","Asia/Vientiane"
"Session 4.1","Public Opening Statements by the Heads of State","10","10","Saturday","21:00 - 21:30","Asia/Vientiane"
